日付,スコア,品質,タイム,就寝時刻,起床時刻
2023/01/30,--,--,8h 53m,0:56,9:59
2023/01/29,--,--,7h 46m,1:34,9:22
2023/01/28,--,--,8h 55m,2:54,12:01
2023/01/27,--,--,9h 5m,0:18,9:24
2023/01/26,--,--,9h 16m,0:40,9:57
2023/01/25,--,--,5h 5m,1:29,6:36
2023/01/24,--,--,8h 20m,1:06,9:30
2023/01/23,--,--,8h 2m,1:28,9:32
2023/01/22,--,--,9h 37m,0:59,10:45
2023/01/21,--,--,7h 20m,2:28,9:52
2023/01/20,--,--,7h 19m,1:10,8:32
2023/01/19,--,--,4h 19m,2:01,6:23
2023/01/18,--,--,6h 4m,1:19,7:27
2023/01/17,--,--,--,--,--
2023/01/16,--,--,9h 5m,0:34,9:52
2023/01/15,--,--,10h 29m,23:52,10:23
2023/01/14,--,--,5h 15m,1:44,7:01
2023/01/13,--,--,8h 10m,0:52,9:10
2023/01/12,--,--,7h 27m,1:08,8:35
2023/01/11,--,--,7h 3m,0:07,7:16
2023/01/10,--,--,6h 15m,0:51,7:07
2023/01/09,--,--,6h 32m,2:14,8:47
2023/01/08,--,--,6h 34m,0:27,7:03
2023/01/07,--,--,8h 37m,23:26,8:05
2023/01/06,--,--,6h 41m,23:58,6:40
2023/01/05,--,--,9h 56m,23:37,9:37
2023/01/04,--,--,7h 26m,22:47,6:15
2023/01/03,--,--,4h 26m,1:23,6:10
2023/01/02,--,--,--,--,--
2023/01/01,--,--,--,--,--
2022/12/31,--,--,--,--,--
2022/12/30,--,--,6h 41m,23:15,6:00
2022/12/29,--,--,7h 33m,23:31,7:07
2022/12/28,--,--,7h 42m,23:22,7:07
2022/12/27,--,--,9h 10m,22:00,7:10
2022/12/26,--,--,10h 21m,21:41,8:04
2022/12/25,--,--,4h 6m,0:08,4:16
2022/12/24,--,--,5h 54m,0:15,6:47
2022/12/23,--,--,3h 40m,5:15,9:07
2022/12/22,--,--,6h 23m,23:46,6:14
2022/12/21,--,--,6h 17m,23:46,6:05
2022/12/20,--,--,5h 21m,0:23,5:45
2022/12/19,--,--,8h 7m,23:29,7:38
2022/12/18,--,--,7h 14m,1:12,8:36
2022/12/17,--,--,5h 28m,22:11,3:41
2022/12/16,--,--,6h 38m,1:14,7:56
2022/12/15,--,--,4h 7m,2:06,6:15
2022/12/14,--,--,5h 0m,0:36,5:53
2022/12/13,--,--,7h 53m,22:08,6:03
2022/12/12,--,--,5h 26m,22:55,4:26
2022/12/11,--,--,3h 33m,2:25,6:01
2022/12/10,--,--,7h 14m,22:50,6:05
2022/12/09,--,--,4h 42m,1:18,6:00
2022/12/08,--,--,9h 33m,22:44,8:27
2022/12/07,--,--,4h 5m,1:57,6:03
2022/12/06,--,--,5h 6m,0:04,5:13
2022/12/05,--,--,3h 37m,2:58,6:35
2022/12/04,--,--,4h 46m,1:43,6:32
2022/12/03,--,--,5h 22m,1:00,6:36
2022/12/02,--,--,5h 30m,1:57,7:33
2022/12/01,--,--,3h 15m,3:12,6:28
2022/11/30,--,--,7h 29m,3:23,11:04
2022/11/29,--,--,9h 41m,0:12,9:54
2022/11/28,--,--,10h 45m,23:12,9:57
2022/11/27,--,--,12h 3m,23:20,11:39
2022/11/26,--,--,11h 34m,23:32,11:21
2022/11/25,--,--,11h 23m,23:15,10:39
2022/11/24,--,--,10h 36m,23:15,10:12
2022/11/23,--,--,12h 58m,23:19,12:19
2022/11/22,--,--,8h 22m,22:37,7:08
2022/11/21,--,--,5h 57m,0:01,6:00
2022/11/20,--,--,10h 31m,1:07,11:45
2022/11/19,--,--,11h 20m,22:45,10:10
2022/11/18,--,--,8h 59m,23:52,8:52
2022/11/17,--,--,6h 39m,1:28,8:07
2022/11/16,--,--,7h 29m,0:07,7:54
2022/11/15,--,--,7h 35m,0:44,8:40
2022/11/14,--,--,--,--,--
2022/11/13,--,--,--,--,--
2022/11/12,--,--,15h 13m,21:34,13:26
2022/11/11,--,--,8h 20m,4:17,13:19
2022/11/10,--,--,8h 32m,1:18,9:50
2022/11/09,--,--,6h 16m,2:14,8:30
2022/11/08,--,--,8h 31m,0:42,9:14
2022/11/07,--,--,9h 1m,23:59,9:09
2022/11/06,--,--,6h 40m,2:57,9:37
2022/11/05,--,--,10h 16m,0:44,11:02
2022/11/04,--,--,7h 40m,2:43,10:24
2022/11/03,--,--,8h 48m,0:28,9:36
2022/11/02,--,--,9h 43m,22:47,8:30
2022/11/01,--,--,9h 17m,22:40,8:06
2022/10/31,--,--,6h 58m,0:41,7:41
2022/10/30,--,--,8h 14m,23:59,8:15
2022/10/29,--,--,7h 23m,22:52,6:19
2022/10/28,--,--,5h 57m,0:04,6:14
2022/10/27,--,--,5h 55m,23:39,5:47
2022/10/26,--,--,10h 4m,23:04,9:08
2022/10/25,--,--,5h 46m,23:23,5:14
2022/10/24,--,--,7h 39m,0:07,8:05
2022/10/23,--,--,8h 18m,0:48,9:06
2022/10/22,--,--,6h 58m,23:40,6:38
2022/10/21,--,--,8h 20m,0:33,8:53
2022/10/20,--,--,6h 45m,3:49,10:36
2022/10/19,--,--,10h 15m,22:28,9:01
2022/10/18,--,--,9h 14m,23:41,8:57
2022/10/17,--,--,8h 56m,23:30,8:37
2022/10/16,--,--,8h 24m,22:54,7:29
2022/10/15,--,--,11h 43m,22:53,10:37
2022/10/14,--,--,6h 44m,23:51,6:36
2022/10/13,--,--,10h 40m,23:03,9:56
2022/10/12,--,--,8h 53m,23:06,8:01
2022/10/11,--,--,11h 23m,19:47,7:17
2022/10/10,--,--,8h 9m,1:09,9:18
2022/10/09,--,--,10h 6m,23:29,9:37
2022/10/08,--,--,11h 12m,20:41,8:24
2022/10/07,--,--,6h 22m,1:37,8:01
2022/10/06,--,--,7h 47m,21:44,5:37
2022/10/05,--,--,7h 6m,22:34,6:07
2022/10/04,--,--,7h 17m,22:09,5:28
2022/10/03,--,--,6h 12m,23:34,5:50
2022/10/02,--,--,10h 21m,21:39,8:19
2022/10/01,--,--,7h 23m,22:51,6:18
2022/09/30,--,--,7h 10m,22:14,6:23
2022/09/29,--,--,6h 26m,22:15,4:57
2022/09/28,--,--,5h 13m,23:08,4:23
2022/09/27,--,--,10h 37m,21:03,7:50
2022/09/26,--,--,5h 44m,0:05,6:12
2022/09/25,--,--,7h 35m,21:49,5:33
2022/09/24,--,--,6h 11m,22:19,4:33
2022/09/23,--,--,6h 0m,0:28,6:46
2022/09/22,--,--,8h 25m,21:36,6:05
2022/09/21,--,--,5h 19m,23:59,5:25
2022/09/20,--,--,5h 6m,1:13,6:30
2022/09/19,--,--,6h 28m,0:24,6:54
2022/09/18,--,--,5h 38m,0:13,5:59
2022/09/17,--,--,6h 19m,23:47,6:06
2022/09/16,--,--,5h 34m,0:38,6:16
2022/09/15,--,--,6h 54m,23:30,6:26
2022/09/14,--,--,8h 36m,0:15,8:54
2022/09/13,--,--,6h 23m,3:05,9:39
2022/09/12,--,--,7h 41m,22:53,6:37
2022/09/11,--,--,7h 48m,23:04,6:57
2022/09/10,--,--,10h 0m,22:31,8:43
2022/09/09,--,--,10h 13m,23:13,9:30
2022/09/08,--,--,4h 28m,2:09,6:38
2022/09/07,--,--,8h 44m,0:06,8:58
2022/09/06,--,--,9h 35m,23:15,8:51
2022/09/05,--,--,5h 40m,1:31,7:11
2022/09/04,--,--,8h 4m,0:13,8:17
2022/09/03,--,--,8h 33m,23:35,8:08
2022/09/02,--,--,9h 18m,0:43,10:15
2022/09/01,--,--,6h 4m,0:10,6:14
2022/08/31,--,--,6h 40m,23:44,6:25
2022/08/30,--,--,6h 38m,23:29,6:07
2022/08/29,--,--,5h 5m,1:03,6:08
2022/08/28,--,--,4h 12m,2:53,7:10
2022/08/27,--,--,--,--,--
2022/08/26,--,--,6h 40m,23:45,6:32
2022/08/25,--,--,10h 5m,23:55,10:10
2022/08/24,--,--,5h 33m,23:20,4:56
2022/08/23,--,--,5h 0m,0:52,5:53
2022/08/22,--,--,7h 18m,23:07,6:31
2022/08/21,--,--,4h 0m,1:18,5:22
2022/08/20,--,--,7h 45m,23:56,8:31
2022/08/19,--,--,4h 13m,23:29,4:21
2022/08/18,--,--,5h 47m,0:19,6:09
2022/08/17,--,--,8h 46m,21:26,6:36
2022/08/16,--,--,6h 37m,23:26,6:04
2022/08/15,--,--,4h 57m,--,4:59
2022/08/14,--,--,6h 9m,0:06,6:18
2022/08/13,--,--,8h 27m,23:44,8:13
2022/08/12,--,--,8h 31m,22:37,7:12
2022/08/11,--,--,4h 48m,23:50,4:39
2022/08/10,--,--,7h 48m,21:53,5:44
2022/08/09,--,--,8h 52m,21:17,6:11
2022/08/08,--,--,6h 32m,0:36,7:12
2022/08/07,--,--,5h 1m,23:01,4:04
2022/08/06,--,--,3h 31m,23:53,3:24
2022/08/05,--,--,5h 36m,21:37,3:18
2022/08/04,--,--,7h 31m,21:13,5:08
2022/08/03,--,--,6h 42m,23:20,6:02
2022/08/02,--,--,7h 0m,23:00,6:10
2022/08/01,--,--,3h 32m,1:53,5:27
2022/07/31,--,--,5h 22m,1:00,6:24
2022/07/30,--,--,4h 56m,0:01,4:58
2022/07/29,--,--,7h 17m,0:32,7:49
2022/07/28,--,--,8h 34m,23:31,8:05
2022/07/27,--,--,8h 5m,23:30,7:36
2022/07/26,--,--,7h 4m,23:37,6:46
2022/07/25,--,--,8h 20m,0:21,8:45
2022/07/24,--,--,7h 27m,22:51,6:22
2022/07/23,--,--,8h 46m,0:06,9:06
2022/07/22,--,--,7h 55m,1:44,9:39
2022/07/21,--,--,9h 46m,23:42,9:28
2022/07/20,--,--,9h 6m,22:57,8:04
2022/07/19,--,--,8h 17m,0:46,9:09
2022/07/18,--,--,7h 9m,23:35,6:51
2022/07/17,--,--,9h 37m,0:22,9:59
2022/07/16,--,--,9h 31m,23:10,8:46
2022/07/15,--,--,7h 29m,0:31,8:05
2022/07/14,--,--,9h 30m,0:30,10:31
2022/07/13,--,--,8h 13m,1:08,9:22
2022/07/12,--,--,8h 42m,23:46,8:29
2022/07/11,--,--,--,--,--
2022/07/10,--,--,5h 51m,0:17,6:08
2022/07/09,--,--,5h 14m,1:18,6:36
2022/07/08,--,--,7h 5m,0:28,7:35
2022/07/07,--,--,11h 13m,19:21,6:42
2022/07/06,--,--,6h 54m,22:49,5:47
2022/07/05,--,--,6h 12m,23:50,6:04
2022/07/04,--,--,7h 2m,23:41,6:50
2022/07/03,--,--,4h 23m,22:58,3:21
2022/07/02,--,--,5h 43m,22:07,3:51
2022/07/01,--,--,6h 12m,23:19,5:33
2022/06/30,--,--,6h 32m,23:22,5:59
2022/06/29,--,--,4h 37m,0:27,5:04
2022/06/28,--,--,5h 49m,23:33,5:25
2022/06/27,--,--,2h 15m,3:48,6:04
2022/06/26,--,--,5h 15m,0:57,6:14
2022/06/25,--,--,6h 30m,23:35,6:05
2022/06/24,--,--,5h 47m,0:10,5:59
2022/06/23,--,--,5h 11m,0:53,6:07
2022/06/22,--,--,5h 53m,0:02,5:59
2022/06/21,--,--,3h 40m,0:39,4:19
2022/06/20,--,--,3h 31m,3:41,7:18
2022/06/19,--,--,8h 24m,1:36,10:00
2022/06/18,--,--,12h 34m,21:40,10:21
2022/06/17,--,--,7h 4m,2:50,9:54
2022/06/16,--,--,10h 10m,23:51,10:05
2022/06/15,--,--,10h 52m,23:58,10:58
2022/06/14,--,--,8h 19m,0:44,9:07
2022/06/13,--,--,8h 51m,23:45,9:00
2022/06/12,--,--,8h 27m,23:09,7:53
2022/06/11,--,--,10h 5m,22:14,9:01
2022/06/10,--,--,8h 6m,23:12,7:22
2022/06/09,--,--,5h 57m,0:09,6:08
2022/06/08,--,--,6h 25m,1:18,7:45
2022/06/07,--,--,8h 56m,23:01,8:02
2022/06/06,--,--,5h 49m,0:47,6:36
2022/06/05,--,--,10h 12m,1:22,11:37
2022/06/04,--,--,--,--,--
2022/06/03,--,--,5h 9m,3:05,8:15
2022/06/02,--,--,12h 20m,22:03,10:42
2022/06/01,--,--,10h 58m,23:29,10:51
2022/05/31,--,--,7h 10m,1:09,8:23
2022/05/30,--,--,6h 53m,2:09,9:02
2022/05/29,--,--,8h 14m,23:01,7:19
2022/05/28,--,--,6h 23m,1:22,7:45
2022/05/27,--,--,11h 20m,22:40,10:00
2022/05/26,--,--,7h 16m,0:31,7:53
